Anexo III,,,,,,,,,,,,,,,,
Tabela I,,,,,,,,,,,,,,,2285,
Tabela Nacional Grupos de Diagnóstico Homogéneo,,,,,,,,,,,,,,,,
All Patient Refined DRG,,,,,,,,,,,,,,,,
Preço base nacional,,2285,,,,,,,,,,,,,,
A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,
315,"Procedimentos no ombro, braço e/ou antebraço",4,C,6.1113,13964.3205,-,-,2791.96940568,10221.882606,5,63,92,33.29,13964.3205,-,
316,Procedimentos na mão e/ou punho,1,C,0.576,1316.16,0.576,1316.16,-,-,1,4,6,2.26,921.312,921.312,
316,Procedimentos na mão e/ou punho,2,C,0.948,2166.18,0.948,2166.18,-,-,1,10,15,4.43,2166.18,2166.18,
316,Procedimentos na mão e/ou punho,3,C,2.0539,4693.1615,2.0539,4693.1615,-,-,1,42,62,13.56,4693.1615,4693.1615,
316,Procedimentos na mão e/ou punho,4,C,12.1909,27856.2065,-,-,2531.57116010909,20390.743158,11,108,157,79,27856.2065,-,
317,"Procedimentos no tendão, musculo e/ou outros tecidos moles",1,C,0.6646,1518.611,0.6646,1518.611,-,-,1,10,15,3.47,1063.0277,1063.0277,
317,"Procedimentos no tendão, musculo e/ou outros tecidos moles",2,C,1.2946,2958.161,1.2946,2958.161,-,-,1,40,60,10.49,2958.161,2958.161,
317,"Procedimentos no tendão, musculo e/ou outros tecidos moles",3,C,3.1411,7177.4135,-,-,3587.5571074,5253.866682,2,57,85,27.47,7177.4135,-,
317,"Procedimentos no tendão, musculo e/ou outros tecidos moles",4,C,7.2226,16503.641,-,-,8249.1770284,12080.665212,2,57,85,22.17,16503.641,-,
320,Outros procedimentos no sistema musculo-esquelético e/ou tecido conjuntivo,1,C,0.6885,1573.2225,0.6885,1573.2225,-,-,1,7,10,3.16,1127.18188005586,1101.25575,
320,Outros procedimentos no sistema musculo-esquelético e/ou tecido conjuntivo,2,C,1.8603,4250.7855,1.8603,4250.7855,-,-,1,48,71,18.81,4250.7855,4250.7855,
320,Outros procedimentos no sistema musculo-esquelético e/ou tecido conjuntivo,3,C,3.4307,7839.1495,-,-,1567.32764552,5738.257434,5,59,86,29.7,7839.1495,-,
320,Outros procedimentos no sistema musculo-esquelético e/ou tecido conjuntivo,4,C,9.6946,22152.161,-,-,1703.46650406154,16215.381852,13,84,120,55.17,22152.161,-,
321,"Artrodese vertebral, cervical  e/ou outros procedimentos no dorso/pescoço exceto excisão/descompressão do disco intervertebral",1,C,0.866,1978.81,0.866,1978.81,-,-,1,11,16,4.77,2233.02194761911,1978.81,
321,"Artrodese vertebral, cervical  e/ou outros procedimentos no dorso/pescoço exceto excisão/descompressão do disco intervertebral",2,C,1.5902,3633.607,1.5902,3633.607,-,-,1,33,49,11.39,3633.607,3633.607,
321,"Artrodese vertebral, cervical  e/ou outros procedimentos no dorso/pescoço exceto excisão/descompressão do disco intervertebral",3,C,4.4743,10223.7755,-,-,2044.10006248,7483.803666,5,60,88,31.17,10223.7755,-,
321,"Artrodese vertebral, cervical  e/ou outros procedimentos no dorso/pescoço exceto excisão/descompressão do disco intervertebral",4,C,15.8739,36271.8615,-,-,3296.38561865455,26551.002618,11,98,142,74.13,36271.8615,-,
340,Fraturas do fémur,1,M,0.5425,1239.6125,-,-,619.80625,-,1,32,48,9.6,-,-,256.08
340,Fraturas do fémur,2,M,0.7878,1800.123,-,-,600.041,-,2,43,64,13.83,-,-,
340,Fraturas do fémur,3,M,1.3004,2971.414,-,-,742.8535,-,3,47,69,17.75,-,-,
340,Fraturas do fémur,4,M,2.5065,5727.3525,-,-,1431.838125,-,3,50,74,20.6,-,-,
341,Fratura da bacia e/ou luxação da anca,1,M,0.5197,1187.5145,-,-,395.838166666667,-,2,33,49,9.81,-,-,
341,Fratura da bacia e/ou luxação da anca,2,M,1.0312,2356.292,-,-,471.2584,-,4,47,69,17.73,-,-,
341,Fratura da bacia e/ou luxação da anca,3,M,1.6712,3818.692,-,-,477.3365,-,7,54,78,24.91,-,-,
341,Fratura da bacia e/ou luxação da anca,4,M,2.8903,6604.3355,-,-,825.5419375,-,7,54,78,22.5,-,-,
342,"Fraturas e/ou luxações exceto fémur, bacia e/ou dorso",1,M,0.282,644.37,-,-,322.185,-,1,10,15,3.48,-,-,
342,"Fraturas e/ou luxações exceto fémur, bacia e/ou dorso",2,M,0.579,1323.015,-,-,661.5075,-,1,26,39,8.94,-,-,
342,"Fraturas e/ou luxações exceto fémur, bacia e/ou dorso",3,M,1.0235,2338.6975,-,-,779.565833333334,-,2,44,65,14.28,-,-,
342,"Fraturas e/ou luxações exceto fémur, bacia e/ou dorso",4,M,2.4283,5548.6655,-,-,1849.55516666667,-,2,58,86,15.92,-,-,
343,Doenças malignas musculo-esqueleticas e/ou fraturas patológicas devido a doença maligna musculo-esquelética,1,M,0.5856,1338.096,-,-,669.048,-,1,21,31,6.35,-,-,
343,Doenças malignas musculo-esqueleticas e/ou fraturas patológicas devido a doença maligna musculo-esquelética,2,M,0.9644,2203.654,-,-,1101.827,-,1,38,57,10.9,-,-,
343,Doenças malignas musculo-esqueleticas e/ou fraturas patológicas devido a doença maligna musculo-esquelética,3,M,2.2139,5058.7615,-,-,1264.690375,-,3,47,69,17.03,-,-,
343,Doenças malignas musculo-esqueleticas e/ou fraturas patológicas devido a doença maligna musculo-esquelética,4,M,5.8837,13444.2545,-,-,1920.60778571429,-,6,57,83,27.39,-,-,
344,"Osteomielite, artrite sética e/ou outras infeções musculo-esqueléticas",1,M,0.8472,1935.852,-,-,483.963,-,3,43,63,13.92,-,-,
344,"Osteomielite, artrite sética e/ou outras infeções musculo-esqueléticas",2,M,1.3733,3137.9905,-,-,627.5981,-,4,50,73,20.41,-,-,
344,"Osteomielite, artrite sética e/ou outras infeções musculo-esqueléticas",3,M,2.393,5468.005,-,-,781.143571428571,-,6,59,86,30.16,-,-,
344,"Osteomielite, artrite sética e/ou outras infeções musculo-esqueléticas",4,M,4.7092,10760.522,-,-,978.229272727273,-,10,70,100,40.08,-,-,
346,Perturbações do tecido conjuntivo,1,M,0.5109,1167.4065,-,-,583.70325,-,1,23,34,6.42,-,-,
346,Perturbações do tecido conjuntivo,2,M,0.8959,2047.1315,-,-,682.377166666667,-,2,36,53,10.38,-,-,
346,Perturbações do tecido conjuntivo,3,M,1.8651,4261.7535,-,-,852.3507,-,4,47,69,17.82,-,-,
346,Perturbações do tecido conjuntivo,4,M,5.9183,13523.3155,-,-,1502.59061111111,-,8,66,95,36.6,-,-,
347,Outras perturbações do dorso e/ou pescoço fraturas e/ou lesões traumáticas,1,M,0.367,838.595,-,-,419.2975,-,1,17,25,5.61,-,-,
347,Outras perturbações do dorso e/ou pescoço fraturas e/ou lesões traumáticas,2,M,0.6722,1535.977,-,-,767.9885,-,1,32,48,9.54,-,-,
347,Outras perturbações do dorso e/ou pescoço fraturas e/ou lesões traumáticas,3,M,1.5064,3442.124,-,-,860.531,-,3,49,72,19.3,-,-,
347,Outras perturbações do dorso e/ou pescoço fraturas e/ou lesões traumáticas,4,M,4.7102,10762.807,-,-,1076.2807,-,9,67,96,37.49,-,-,
349,"Disfunção, reacção ou complicação de dispositivo ou procedimento ortopédico",1,M,0.4422,1010.427,-,-,505.2135,-,1,20,30,6.76,-,-,
349,"Disfunção, reacção ou complicação de dispositivo ou procedimento ortopédico",2,M,1.0819,2472.1415,-,-,494.4283,-,4,47,69,17.17,-,-,
349,"Disfunção, reacção ou complicação de dispositivo ou procedimento ortopédico",3,M,1.7765,4059.3025,-,-,811.8605,-,4,53,78,23.73,-,-,
349,"Disfunção, reacção ou complicação de dispositivo ou procedimento ortopédico",4,M,3.749,8566.465,-,-,1427.74416666667,-,5,55,80,25.53,-,-,
351,Outros diagnósticos do aparelho osteomuscular e/ou do tecido conjuntivo,1,M,0.3066,700.581,-,-,350.2905,-,1,10,15,3.78,-,-,
351,Outros diagnósticos do aparelho osteomuscular e/ou do tecido conjuntivo,2,M,0.5418,1238.013,-,-,619.0065,-,1,23,34,7.59,-,-,
351,Outros diagnósticos do aparelho osteomuscular e/ou do tecido conjuntivo,3,M,1.2563,2870.6455,-,-,717.661375,-,3,41,60,14.28,-,-,
351,Outros diagnósticos do aparelho osteomuscular e/ou do tecido conjuntivo,4,M,3.4438,7869.083,-,-,1311.51383333333,-,5,52,76,22.43,-,-,
,,,,,,,,,,,,,,,,
GCD 9,"Doenças e Perturbações da Pele, Tecido Celular Subcutâneo e Mama",,,,,,,,,,,,,,,
361,Enxerto de pele por diagnósticos de pele e/ou tecido subcutâneo,1,C,1.0007,2286.5995,1.0007,2286.5995,-,-,1,17,25,6.68,2268.83377271167,1600.61965,
361,Enxerto de pele por diagnósticos de pele e/ou tecido subcutâneo,2,C,2.3219,5305.5415,2.3219,5305.5415,-,-,1,52,77,21.56,5305.5415,5305.5415,
361,Enxerto de pele por diagnósticos de pele e/ou tecido subcutâneo,3,C,5.4941,12554.0185,5.4941,12554.0185,-,-,1,74,107,44.14,12554.0185,12554.0185,
361,Enxerto de pele por diagnósticos de pele e/ou tecido subcutâneo,4,C,13.826,31592.41,-,-,1579.1144684,23125.64412,20,117,166,87.89,31592.41,-,
362,Procedimentos para mastectomia,1,C,0.8717,1991.8345,0.8717,1991.8345,-,-,1,15,22,5.75,1612.19170472627,1394.28415,
362,Procedimentos para mastectomia,2,C,1.178,2691.73,1.178,2691.73,-,-,1,19,28,7.47,2691.73,2691.73,
362,Procedimentos para mastectomia,3,C,2.2239,5081.6115,-,-,2539.9918026,3719.739618,2,37,55,16.17,5081.6115,-,
362,Procedimentos para mastectomia,4,C,8.4504,19309.164,-,-,2144.77536746667,14134.308048,9,56,80,26.25,19309.164,-,
363,Procedimentos na mama exceto mastectomia,1,C,0.7648,1747.568,0.7648,1747.568,-,-,1,8,12,3.03,1280.83322016325,1223.2976,
363,Procedimentos na mama exceto mastectomia,2,C,1.4338,3276.233,1.4338,3276.233,-,-,1,16,24,6.56,3276.233,3276.233,
363,Procedimentos na mama exceto mastectomia,3,C,1.9628,4484.998,1.9628,4484.998,-,-,1,32,47,12.23,4484.998,4484.998,
363,Procedimentos na mama exceto mastectomia,4,C,4.5425,10379.6125,-,-,2594.0718475,7597.87635,4,56,82,12.23,10379.6125,-,
364,"Outros procedimentos na pele, tecido subcutâneo e procedimentos relacionados",1,C,0.6712,1533.692,0.6712,1533.692,-,-,1,10,15,3.18,1195.65098130394,1073.5844,
364,"Outros procedimentos na pele, tecido subcutâneo e procedimentos relacionados",2,C,1.2005,2743.1425,1.2005,2743.1425,-,-,1,31,46,11.53,2743.1425,2743.1425,
364,"Outros procedimentos na pele, tecido subcutâneo e procedimentos relacionados",3,C,2.9724,6791.934,2.9724,6791.934,-,-,1,55,80,25.84,6791.934,6791.934,
364,"Outros procedimentos na pele, tecido subcutâneo e procedimentos relacionados",4,C,6.3036,14403.726,-,-,1799.8889706,10543.527432,8,75,109,47.1,14403.726,-,
380,Úlceras da pele,1,M,0.9341,2134.4185,-,-,533.604625,-,3,39,57,16.09,-,-,
380,Úlceras da pele,2,M,1.0942,2500.247,-,-,625.06175,-,3,46,68,16.93,-,-,
380,Úlceras da pele,3,M,1.4703,3359.6355,-,-,671.9271,-,4,48,70,18.55,-,-,
380,Úlceras da pele,4,M,3.5846,8190.811,-,-,1170.11585714286,-,6,61,89,32.18,-,-,
381,Perturbações major da pele,1,M,0.5643,1289.4255,-,-,644.71275,-,1,27,40,9.03,-,-,
381,Perturbações major da pele,2,M,0.9067,2071.8095,-,-,690.603166666667,-,2,40,59,13.49,-,-,
381,Perturbações major da pele,3,M,1.8324,4187.034,-,-,837.4068,-,4,51,75,21,-,-,
381,Perturbações major da pele,4,M,5.961,13620.885,-,-,1513.43166666667,-,8,77,112,47.55,-,-,
382,Perturbações malignas da mama,1,M,0.2533,578.7905,-,-,289.39525,-,1,7,10,3.65,-,-,
382,Perturbações malignas da mama,2,M,0.6498,1484.793,-,-,742.3965,-,1,29,43,9.2,-,-,
382,Perturbações malignas da mama,3,M,1.4349,3278.7465,-,-,1092.9155,-,2,43,64,13.09,-,-,
382,Perturbações malignas da mama,4,M,3.4679,7924.1515,-,-,2641.38383333333,-,2,48,71,18.53,-,-,
383,Celulite e/ou outras infeções bacterianas da pele,1,M,0.4217,963.5845,-,-,481.79225,-,1,21,31,7.4,-,-,
383,Celulite e/ou outras infeções bacterianas da pele,2,M,0.6826,1559.741,-,-,519.913666666667,-,2,30,44,11.59,-,-,
383,Celulite e/ou outras infeções bacterianas da pele,3,M,1.166,2664.31,-,-,666.0775,-,3,40,59,15.72,-,-,
383,Celulite e/ou outras infeções bacterianas da pele,4,M,2.6181,5982.3585,-,-,1495.589625,-,3,46,68,16.8,-,-,
384,"Contusão, ferida aberta e/ou outros traumas da pele e/ou tecido subcutâneo",1,M,0.5429,1240.5265,-,-,620.26325,-,1,14,21,4.97,-,-,
384,"Contusão, ferida aberta e/ou outros traumas da pele e/ou tecido subcutâneo",2,M,0.6159,1407.3315,-,-,703.66575,-,1,23,34,8.04,-,-,
384,"Contusão, ferida aberta e/ou outros traumas da pele e/ou tecido subcutâneo",3,M,1.399,3196.715,-,-,1065.57166666667,-,2,43,64,13.94,-,-,
384,"Contusão, ferida aberta e/ou outros traumas da pele e/ou tecido subcutâneo",4,M,3.3459,7645.3815,-,-,1092.19735714286,-,6,58,84,29.55,-,-,
385,"Outras perturbações da pele, tecido subcutâneo e/ou mama",1,M,0.2838,648.483,0.2286,522.351,63.066,-,1,10,15,3.64,719.28009941182,626.8212,
385,"Outras perturbações da pele, tecido subcutâneo e/ou mama",2,M,0.5369,1226.8165,0.2286,522.351,352.23275,-,1,26,39,8.28,1226.8165,626.8212,
385,"Outras perturbações da pele, tecido subcutâneo e/ou mama",3,M,1.2536,2864.476,-,-,716.119,-,3,44,65,14.28,2864.476,-,
385,"Outras perturbações da pele, tecido subcutâneo e/ou mama",4,M,3.5326,8071.991,-,-,1614.3982,-,4,58,85,28.72,8071.991,-,
,,,,,,,,,,,,,,,,
GCD 10,Doenças e Perturbações Endócrinas Nutricionais e Metabólicas,,,,,,,,,,,,,,,
401,Procedimentos na glândula pituitária e/ou suprarenal,1,C,1.2584,2875.444,-,-,2874.5228512,2104.825008,1,16,24,7.24,3767.24784082014,-,
401,Procedimentos na glândula pituitária e/ou suprarenal,2,C,2.0487,4681.2795,-,-,4679.7798516,3426.696594,1,27,40,10.99,4681.2795,-,
401,Procedimentos na glândula pituitária e/ou suprarenal,3,C,4.1352,9448.932,-,-,2361.4762584,6916.618224,4,49,72,19.41,9448.932,-,
401,Procedimentos na glândula pituitária e/ou suprarenal,4,C,12.3109,28130.4065,-,-,2343.44957676667,20591.457558,12,69,98,39.5,28130.4065,-,
403,Procedimentos para a obesidade,1,C,0.9723,2221.7055,0.9723,2221.7055,-,-,1,12,18,4.71,2221.7055,2221.7055,
403,Procedimentos para a obesidade,2,C,1.1277,2576.7945,1.1277,2576.7945,-,-,1,13,19,5.8,2850.8641188623,2576.7945,
403,Procedimentos para a obesidade,3,C,1.893,4325.505,-,-,4324.119324,3166.26966,1,13,19,7.2,4325.505,-,
403,Procedimentos para a obesidade,4,C,9.1365,20876.9025,-,-,2087.0214582,15281.89263,10,63,90,32.15,20876.9025,-,
404,"Procedimentos na tiróide, paratiróide e/ou tiroglosso",1,C,0.6023,1376.2555,0.6023,1376.2555,-,-,1,5,7,2.81,1607.36235960907,1156.23315842343,
404,"Procedimentos na tiróide, paratiróide e/ou tiroglosso",2,C,0.8806,2012.171,0.8806,2012.171,-,-,1,9,13,4.42,2012.171,2012.171,
404,"Procedimentos na tiróide, paratiróide e/ou tiroglosso",3,C,2.1865,4996.1525,-,-,2497.275991,3657.18363,2,36,53,13.17,4996.1525,-,
404,"Procedimentos na tiróide, paratiróide e/ou tiroglosso",4,C,8.2079,18755.0515,-,-,4687.2608293,13728.697698,4,65,96,35.73,18755.0515,-,
405,"Outros procedimentos para perturbações endócrinas, nutricionais e/ou metabólicas",1,C,0.8104,1851.764,0.8104,1851.764,-,-,1,14,21,5.81,2222.1168,1851.764,
405,"Outros procedimentos para perturbações endócrinas, nutricionais e/ou metabólicas",2,C,1.898,4336.93,1.898,4336.93,-,-,1,48,71,19.5,4336.93,4336.93,
405,"Outros procedimentos para perturbações endócrinas, nutricionais e/ou metabólicas",3,C,3.1561,7211.6885,-,-,1802.3445587,5278.955982,4,48,70,24,7211.6885,-,
405,"Outros procedimentos para perturbações endócrinas, nutricionais e/ou metabólicas",4,C,12.4496,28447.336,-,-,1672.83664075294,20823.449952,17,78,109,48.8,28447.336,-,
420,Diabetes,1,M,0.3855,880.8675,-,-,440.43375,-,1,15,22,6.38,-,-,
420,Diabetes,2,M,0.5785,1321.8725,-,-,660.93625,-,1,18,27,6.95,-,-,
420,Diabetes,3,M,1.0406,2377.771,-,-,792.590333333333,-,2,31,46,10.88,-,-,
420,Diabetes,4,M,3.379,7721.015,-,-,1544.203,-,4,50,73,20.76,-,-,
421,"Perturbações por desnutrição, falha no crescimento e/ou outras perturbações nutricionais",1,M,0.2485,567.8225,-,-,283.91125,-,1,13,19,3.69,-,-,
421,"Perturbações por desnutrição, falha no crescimento e/ou outras perturbações nutricionais",2,M,0.4544,1038.304,-,-,519.152,-,1,23,34,6.93,-,-,
421,"Perturbações por desnutrição, falha no crescimento e/ou outras perturbações nutricionais",3,M,0.8094,1849.479,-,-,924.7395,-,1,38,57,10.8,-,-,
421,"Perturbações por desnutrição, falha no crescimento e/ou outras perturbações nutricionais",4,M,2.9071,6642.7235,-,-,2214.24116666667,-,2,47,70,17.95,-,-,
422,Perturbações por hipovolémia e/ou outras perturbações eletroliticas,1,M,0.3002,685.957,-,-,342.9785,-,1,10,15,3.71,-,-,
422,Perturbações por hipovolémia e/ou outras perturbações eletroliticas,2,M,0.4356,995.346,-,-,497.673,-,1,20,30,7.52,-,-,
422,Perturbações por hipovolémia e/ou outras perturbações eletroliticas,3,M,0.7986,1824.801,-,-,608.267,-,2,28,41,10.73,-,-,
422,Perturbações por hipovolémia e/ou outras perturbações eletroliticas,4,M,2.2115,5053.2775,-,-,1010.6555,-,4,44,64,14.84,-,-,
423,Erros inatos do metabolismo,1,M,0.3986,910.801,-,-,455.4005,-,1,7,10,2.85,-,-,
423,Erros inatos do metabolismo,2,M,0.6427,1468.5695,-,-,734.28475,-,1,16,24,6.02,-,-,
423,Erros inatos do metabolismo,3,M,1.2533,2863.7905,-,-,1431.89525,-,1,38,57,11.94,-,-,
423,Erros inatos do metabolismo,4,M,6.8316,15610.206,-,-,1734.46733333333,-,8,73,106,44,-,-,
424,Outras perturbações endócrinas,1,M,0.3956,903.946,-,-,451.973,-,1,5,7,3.17,-,-,
424,Outras perturbações endócrinas,2,M,0.7049,1610.6965,-,-,805.34825,-,1,27,40,8.91,-,-,
424,Outras perturbações endócrinas,3,M,1.3332,3046.362,-,-,1015.454,-,2,41,61,12.54,-,-,
424,Outras perturbações endócrinas,4,M,4.2834,9787.569,-,-,1631.2615,-,5,53,77,23.91,-,-,
425,Perturbações eletroliticas exceto as relacionadas com hipovolémia,1,M,0.3251,742.8535,-,-,371.42675,-,1,14,21,4.7,-,-,
425,Perturbações eletroliticas exceto as relacionadas com hipovolémia,2,M,0.5063,1156.8955,-,-,578.44775,-,1,20,30,6.92,-,-,
425,Perturbações eletroliticas exceto as relacionadas com hipovolémia,3,M,0.8987,2053.5295,-,-,684.509833333333,-,2,28,41,10.33,-,-,
425,Perturbações eletroliticas exceto as relacionadas com hipovolémia,4,M,2.307,5271.495,-,-,1054.299,-,4,46,67,16.61,-,-,
,,,,,,,,,,,,,,,,
GCD 11,Doenças e Perturbações do Rim e do Aparelho Urinário,,,,,,,,,,,,,,,
440,Transplante renal,1,C,2.3881,5456.8085,-,-,1818.35347026667,3994.383822,3,38,56,14.18,5456.8085,-,
440,Transplante renal,2,C,3.0779,7033.0015,-,-,1757.6871193,5148.157098,4,48,70,18.53,7033.0015,-,
440,Transplante renal,3,C,4.7448,10841.868,-,-,1806.3991344,7936.247376,6,57,83,28.01,10841.868,-,
440,Transplante renal,4,C,9.9417,22716.7845,-,-,2838.68839695,16628.686254,8,69,100,39.71,22716.7845,-,
441,Procedimentos major na bexiga,1,C,1.4496,3312.336,-,-,1655.6374464,2424.629952,2,25,37,8.99,2318.6352,-,
441,Procedimentos major na bexiga,2,C,2.7304,6238.964,-,-,1559.2413368,4566.921648,4,41,60,18.73,6238.964,-,
441,Procedimentos major na bexiga,3,C,3.9582,9044.487,-,-,1808.31791952,6620.564484,5,55,80,25.38,9044.487,-,
441,Procedimentos major na bexiga,4,C,11.4427,26146.5695,-,-,2613.81934436,19139.288874,10,78,112,48.54,26146.5695,-,
442,"Procedimentos no rim e/ou nas vias urinárias, por doenças malignas",1,C,1.1426,2610.841,1.1426,2610.841,-,-,1,17,25,8.58,3133.0092,2610.841,
442,"Procedimentos no rim e/ou nas vias urinárias, por doenças malignas",2,C,1.4892,3402.822,-,-,3401.7319056,2490.865704,1,21,31,10.24,3402.822,-,
442,"Procedimentos no rim e/ou nas vias urinárias, por doenças malignas",3,C,2.9308,6696.878,-,-,1673.6831636,4902.114696,4,47,69,17.72,6696.878,-,
442,"Procedimentos no rim e/ou nas vias urinárias, por doenças malignas",4,C,8.6384,19738.744,-,-,2192.49118791111,14448.760608,9,64,92,34.7,19738.744,-,
443,"Procedimentos no rim e/ou nas vias urinárias, por doenças não malignas",1,C,0.9073,2073.1805,0.9073,2073.1805,-,-,1,17,25,5.35,2044.9723217322,1451.22635,
443,"Procedimentos no rim e/ou nas vias urinárias, por doenças não malignas",2,C,1.3609,3109.6565,1.3609,3109.6565,-,-,1,28,41,9.86,3109.6565,3109.6565,
443,"Procedimentos no rim e/ou nas vias urinárias, por doenças não malignas",3,C,2.7487,6280.7795,2.7487,6280.7795,-,-,1,50,73,20.78,6280.7795,6280.7795,
443,"Procedimentos no rim e/ou nas vias urinárias, por doenças não malignas",4,C,7.1375,16309.1875,-,-,2037.99535625,11938.32525,8,63,91,33.09,16309.1875,-,
444,Procedimentos para dispositivo de acesso à diálise renal,1,C,0.7913,1808.1205,0.7913,1808.1205,-,-,1,7,10,3.55,2169.7446,1265.68435,
444,Procedimentos para dispositivo de acesso à diálise renal,2,C,1.258,2874.53,1.258,2874.53,-,-,1,23,34,7.39,2874.53,2874.53,
444,Procedimentos para dispositivo de acesso à diálise renal,3,C,3.3956,7758.946,3.3956,7758.946,-,-,1,50,73,20.72,7758.946,7758.946,
444,Procedimentos para dispositivo de acesso à diálise renal,4,C,7.9394,18141.529,-,-,2590.8167656,13279.599228,7,71,103,39.81,18141.529,-,
445,Outros procedimentos na bexiga,1,C,0.6073,1387.6805,0.6073,1387.6805,-,-,1,8,12,3.75,1220.43841427381,971.37635,
445,Outros procedimentos na bexiga,2,C,0.9363,2139.4455,0.9363,2139.4455,-,-,1,20,30,7.27,2139.4455,2139.4455,
445,Outros procedimentos na bexiga,3,C,2.2366,5110.631,-,-,1702.99793626667,3740.981892,3,45,66,16.56,5110.631,-,
445,Outros procedimentos na bexiga,4,C,6.5486,14963.551,-,-,1662.08415831111,10953.319332,9,69,99,40.83,14963.551,-,
446,Procedimentos uretrais e/ou transuretrais,1,C,0.5216,1191.856,0.5216,1191.856,-,-,1,11,16,4.13,834.2992,834.2992,
446,Procedimentos uretrais e/ou transuretrais,2,C,0.7201,1645.4285,0.7201,1645.4285,-,-,1,17,25,6.21,1645.4285,1645.4285,
446,Procedimentos uretrais e/ou transuretrais,3,C,1.5904,3634.064,-,-,1816.4499136,2660.134848,2,44,65,14.54,3634.064,-,
446,Procedimentos uretrais e/ou transuretrais,4,C,5.1086,11673.151,-,-,2333.88230096,8544.746532,5,61,89,32.54,11673.151,-,
447,"Outros procedimentos no rim, vias urinárias e/ou procedimentos relacionados",1,C,0.8423,1924.6555,0.8423,1924.6555,-,-,1,10,15,3.86,2300.30223499781,1422.15131464771,
447,"Outros procedimentos no rim, vias urinárias e/ou procedimentos relacionados",2,C,1.086,2481.51,1.086,2481.51,-,-,1,17,25,5.85,2481.51,2481.51,
447,"Outros procedimentos no rim, vias urinárias e/ou procedimentos relacionados",3,C,2.2438,5127.083,2.2438,5127.083,-,-,1,47,69,17.46,5127.083,5127.083,
447,"Outros procedimentos no rim, vias urinárias e/ou procedimentos relacionados",4,C,8.0604,18418.014,-,-,1841.21137872,13481.986248,10,76,109,47.45,18418.014,-,
460,Insuficiência renal,1,M,0.5049,1153.6965,0.0463063457330416,105.81,523.94325,-,1,20,30,6.19,1153.6965,105.81,
460,Insuficiência renal,2,M,0.7908,1806.978,0.0463063457330416,105.81,850.584,-,1,27,40,8.82,1806.978,105.81,
460,Insuficiência renal,3,M,1.0427,2382.5695,0.0463063457330416,105.81,1138.37975,-,1,32,47,11.44,2382.5695,105.81,
460,Insuficiência renal,4,M,3.3734,7708.219,-,-,1541.6438,-,4,51,75,21.43,7708.219,-,
461,Doenças malignas do rim e/ou vias urinárias,1,M,0.3215,734.6275,-,-,367.31375,-,1,10,15,3.86,-,-,
461,Doenças malignas do rim e/ou vias urinárias,2,M,0.6694,1529.579,-,-,764.7895,-,1,32,48,9.16,-,-,
461,Doenças malignas do rim e/ou vias urinárias,3,M,1.3721,3135.2485,-,-,783.812125,-,3,44,65,15.03,-,-,
461,Doenças malignas do rim e/ou vias urinárias,4,M,3.8384,8770.744,-,-,1754.1488,-,4,50,73,21.03,-,-,
462,Nefrite e/ou nefrose,1,M,0.2741,626.3185,-,-,313.15925,-,1,19,28,5.19,-,-,
462,Nefrite e/ou nefrose,2,M,0.4924,1125.134,-,-,562.567,-,1,26,39,7.87,-,-,
462,Nefrite e/ou nefrose,3,M,1.3399,3061.6715,-,-,765.417875,-,3,44,65,14.64,-,-,
462,Nefrite e/ou nefrose,4,M,7.1349,16303.2465,-,-,3260.6493,-,4,50,73,20.25,-,-,
463,Infeções do rim e/ou vias urinárias,1,M,0.3504,800.664,-,-,400.332,-,1,15,22,5.96,-,-,
463,Infeções do rim e/ou vias urinárias,2,M,0.5539,1265.6615,-,-,421.887166666667,-,2,22,32,8.76,-,-,
463,Infeções do rim e/ou vias urinárias,3,M,0.8549,1953.4465,-,-,651.148833333333,-,2,30,44,12.55,-,-,
463,Infeções do rim e/ou vias urinárias,4,M,1.815,4147.275,-,-,1036.81875,-,3,46,68,16.86,-,-,
465,Cálculos urinários e/ou obstrução adquirida das vias urinárias superiores,1,M,0.2373,542.2305,0.194599562363239,444.66,48.78525,-,1,7,10,2.57,-,-,
465,Cálculos urinários e/ou obstrução adquirida das vias urinárias superiores,2,M,0.3273,747.8805,0.194599562363239,444.66,151.61025,-,1,11,16,4.41,-,-,
465,Cálculos urinários e/ou obstrução adquirida das vias urinárias superiores,3,M,0.6956,1589.446,-,-,794.723,-,1,27,40,8.61,-,-,
465,Cálculos urinários e/ou obstrução adquirida das vias urinárias superiores,4,M,1.8276,4176.066,-,-,1044.0165,-,3,29,42,10.93,-,-,
466,"Procedimentos em BO por disfunção, reacção, complicação de dispositivo geniturinário",1,M,0.2247,513.4395,-,-,256.71975,-,1,10,15,3.45,-,-,
466,"Procedimentos em BO por disfunção, reacção, complicação de dispositivo geniturinário",2,M,0.4629,1057.7265,-,-,528.86325,-,1,20,30,6.55,-,-,
466,"Procedimentos em BO por disfunção, reacção, complicação de dispositivo geniturinário",3,M,0.9414,2151.099,-,-,717.033,-,2,28,41,9.59,-,-,
466,"Procedimentos em BO por disfunção, reacção, complicação de dispositivo geniturinário",4,M,2.4792,5664.972,-,-,1132.9944,-,4,50,73,20.34,-,-,
